Country,Invoice_Month,O&D_Net_Count,PNR,Primary_Product_Code,Carrier_Code_Validating,Low_Cost_Indicator,Abonnement_SNCF,Carrier_Validating,Departure_Date,Arrival_Date,Ticket_Number,Origin_City,Destination_City,Origin_Country,Destination_Country,Origin_Region,Destination_Region,Directional_City_Pair,Class_Type,O&D_Class_of_Service_Invoice_Predominant,Round_Trip_Indicator,Exchange_Refund_Code,Reason_Code_Description,Booking_Date,Invoice_Date,Client_ID_Name,Level_4_Division_code,Level_4_Division_Desc,Level_12_CDR_Code,Customer_Defined_05,Customer_Defined_06,O&D_Mileage
FRANCE,202209 - septembre,1,,Air,,,,AIR FRANCE,2022-10-13,10/13/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,9/20/2022,9/23/2022,ORANGE SA,AA,Orange France,CQKN5,REUNION_INTERNE,,352
FRANCE,202209 - septembre,1,,Air,,,,AIR FRANCE,2022-10-27,10/27/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,9/21/2022,9/23/2022,ORANGE SA,AA,Orange France,CQKN5,REUNION_INTERNE,,352
FRANCE,202209 - septembre,1,,Air,,,,AIR FRANCE,2022-10-28,10/28/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,6/24/2022,9/26/2022,ORANGE SA,AN,Orange Wholesale International,RIPNG,REUNION_IRP_MANDATS_SOC,,352
FRANCE,202209 - septembre,1,,Air,,,,AIR FRANCE,2022-09-30,9/30/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,6/16/2022,9/1/2022,ORANGE SA,AN,Orange Wholesale International,RIPNG,REUNION_IRP_MANDATS_SOC,,352
FRANCE,202209 - septembre,1,,Air,,,,AIR FRANCE,2022-10-20,10/20/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,7/29/2022,9/6/2022,ORANGE SA,AN,Orange Wholesale International,RIPNG,REUNION_IRP_MANDATS_SOC,,352
FRANCE,202209 - septembre,1,,Air,,,,AIR FRANCE,2022-09-22,9/22/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,9/6/2022,9/6/2022,ORANGE SA,AN,Orange Wholesale International,RIPNG,REUNION_INTERNE,,352
FRANCE,202209 - septembre,1,,Air,,,,AIR FRANCE,2022-10-06,10/6/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,9/27/2022,9/27/2022,ORANGE SA,AA,Orange France,DEIII,REUNION_INTERNE,,352
FRANCE,202209 - septembre,1,,Air,,LOW COST,,EASYJET AIRLINE,2022-09-07,9/7/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,8/29/2022,9/8/2022,ORANGE SA,AA,Orange France,A9PCP,REUNION_INTERNE,,352
FRANCE,202209 - septembre,1,,Air,,,,AIR FRANCE,2022-10-18,10/18/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,9/27/2022,9/27/2022,ORANGE SA,AA,Orange France,DRE01,REUNION_INTERNE,,352
FRANCE,202209 - septembre,1,,Air,,LOW COST,,EASYJET AIRLINE,2022-10-25,10/25/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,9/27/2022,9/27/2022,ORANGE SA,AA,Orange France,DRE01,REUNION_INTERNE,,352
